beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,steady,mapi
81.15111111111112,40.55555555555556,0,0,1,0.02,0,0.6497631459590475,0,9.592815430892188e-11,7.285335529294557e-12,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.01,0,1,0.02,0,0.5943349817138298,2.1387001758607962e-20,0,0,8.815932432529443e-21,TRUE,576176610413631550
81.15111111111112,40.55555555555556,0.02,0,1,0.02,0,0.7632699110105559,2.1387001758607962e-20,0,0,6.328145399380667e-50,TRUE,576176610413631550
81.15111111111112,40.55555555555556,0.03,0,1,0.02,0,0.7619470479873425,2.1387001758607962e-20,0,0,8.19500459841609e-21,TRUE,576176610413631550
81.15111111111112,40.55555555555556,0.04,0,1,0.02,0,0.5425070329554375,2.5239587763443e-49,4.084026172801458e-11,6.237738103820334e-11,6.140589395833414e-40,TRUE,4882286626738527e31
81.15111111111112,40.55555555555556,0.05,0,1,0.02,0,0.5929563696313563,2.8541015019572818e-49,0,0,1.8858533681295954e-39,TRUE,43175374708063025e30
81.15111111111112,40.55555555555556,0.06,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.07,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.08,0,1,0.02,0,0.49132172092325566,2.83933710537623e-49,0,0,1.3650091851554622e-39,TRUE,4339988427880697e31
81.15111111111112,40.55555555555556,0.09,0,1,0.02,0,0.498519547598817,2.1387001758607962e-20,0,0,7.262138082113446e-21,TRUE,576176610413631550
81.15111111111112,40.55555555555556,0.1,0,1,0.02,0,0,2.833952833312422e-49,1.2651497904858644e-11,0,0,TRUE,4348234040925066e31
81.15111111111112,40.55555555555556,0.11,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.12,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.13,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.14,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.15,0,1,0.02,0,0.5584997250775836,1.0693500879303981e-20,1.1948966122110605e-12,1.0187367616154575e-10,0,TRUE,1152353220827263100
81.15111111111112,40.55555555555556,0.16,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.17,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.18,0,1,0.02,0,0.35694447459323253,3.108305030294915e-49,1.2199442844806896e-13,1.388487935738425e-9,0,TRUE,39644404458644585e30
81.15111111111112,40.55555555555556,0.19,0,1,0.02,0,0.6356260583094129,3.0993983359548075e-49,0,8.969819331738904e-11,0,TRUE,39758329986935864e30
81.15111111111112,40.55555555555556,0.2,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.21,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.22,0,1,0.02,0,0.501888229517543,5.346750439654849e-21,8.806844142839054e-14,0,2.71713581710344e-21,TRUE,2304706441653294e3
81.15111111111112,40.55555555555556,0.23,0,1,0.02,0,1.0982293432953056,3.0989311088858387e-49,0,0,1.3614798612682664e-21,TRUE,39764324366073113e30
81.15111111111112,40.55555555555556,0.24,0,1,0.02,0,0.7255382659295668,3.0993137417127754e-49,1.7822548992185716e-14,1.0305017950074102e-10,1.3643304362380918e-21,TRUE,3975941517097013e31
81.15111111111112,40.55555555555556,0.25,0,1,0.02,0,3093993110673934e21,0,0,3.769103839053171e-13,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.26,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.27,0,1,0.02,0,0.6495623257639342,1.3366876099137123e-21,6.0728332085258074e-15,9.942441314692019e-11,0,TRUE,9218825766613176e3
81.15111111111112,40.55555555555556,0.28,0,1,0.02,0,0.8766078114517526,0,0,1.0217021673142312e-10,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.29,0,1,0.02,0,0.4989864476546074,3.115296842057223e-49,0,0,0,TRUE,3955542859937443e31
81.15111111111112,40.55555555555556,0.3,0,1,0.02,0,0.7255871834194485,3.1039086350060573e-49,1.6386631634945914e-15,1.0225309488021139e-10,2.8580699705841885e-39,TRUE,39700557037050363e30
81.15111111111112,40.55555555555556,0.31,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.32,0,1,0.02,0,0.6499063781355524,6.683438049568115e-22,3.1261885441447035e-15,1.0237310998917337e-10,0,TRUE,18437651533227583e3
81.15111111111112,40.55555555555556,0.33,0,1,0.02,0,0.8762538858829599,3.1116826535187537e-49,1.0684812409844646e-16,1.0328748967225465e-10,0,TRUE,396013718373574e32
81.15111111111112,40.55555555555556,0.34,0,1,0.02,0,0.4991387955275577,3.1117719891564474e-49,0,0,0,TRUE,39600234924428383e30
81.15111111111112,40.55555555555556,0.35000000000000003,0,1,0.02,0,0.6499961322985713,3.118578382887368e-49,1.0180658399638887e-16,1.0311634879300868e-10,0,TRUE,3951380618747194e31
81.15111111111112,40.55555555555556,0.36,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.37,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.38,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.39,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.4,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.41000000000000003,0,1,0.02,0,0.6499868558512467,3.128411524287126e-49,5.402037324409026e-17,1.029840657196246e-10,8.879101356615247e-23,TRUE,393896074238286e32
81.15111111111112,40.55555555555556,0.42,0,1,0.02,0,0.9521950674106372,1.6708595123920567e-22,4.706792681302696e-17,1.0314077369955044e-10,8.879706053058942e-23,TRUE,73750606132909105e3
81.15111111111112,40.55555555555556,0.43,0,1,0.02,0,0,0,0,0,0,TRUE,Inf
81.15111111111112,40.55555555555556,0.44,0,1,0.02,0,0.6499998115053536,3.1283208347644526e-49,0,1.0309586517820435e-10,4.440650188756735e-23,TRUE,39390749322273243e30
81.15111111111112,40.55555555555556,0.45,0,1,0.02,0,0.6499027714165695,3.1198022900066318e-49,1.2061749168901237e-18,1.0299805452973487e-10,0,TRUE,3949830481135687e31
