beta0,gammaR,omega1,rel_2inf,gamma_mod,mu,beta1,ST_S,ST_I1,ST_R1,ST_R2,ST_I2,mapi,steady
202.8777777777778,40.55555555555556,1.1500000000000001,0.96,1,0.02,0,0.004599295825023524,4.906405793074518e-4,0.7696543044692501,0.20354240018226719,0.021713358944147932,0.23102735439772445,TRUE
202.8777777777778,40.55555555555556,1.16,0.96,1,0.02,0,0.004561627725456595,4.906591462002792e-4,0.769468367201758,0.2035816377859827,0.021897708140601588,0.22912657641644976,TRUE
202.8777777777778,40.55555555555556,1.17,0.96,1,0.02,0,0.004524589227502489,4.906774027576798e-4,0.7692825445010801,0.2036202195546849,0.022081969313972678,0.22725770915784702,TRUE
202.8777777777778,40.55555555555556,1.18,0.96,1,0.02,0,0.004488164676740893,4.906953566958381e-4,0.769096835651385,0.20365816179506155,0.022266142520112293,0.22541995571973908,TRUE
202.8777777777778,40.55555555555556,1.19,0.96,1,0.02,0,0.0044523389334636555,4.90713015477235e-4,0.7689112399583559,0.20369548027764206,0.022450227815061136,0.22361254551559254,TRUE
202.8777777777778,40.55555555555556,1.2,0.96,1,0.02,0,0.004417097351692741,4.907303863209786e-4,0.7687257567482945,0.20373219025865344,0.022634225255038637,0.22183473319715608,TRUE
202.8777777777778,40.55555555555556,1.21,0.96,1,0.02,0,0.004382425759216185,4.907474762126636e-4,0.768540385367319,0.20376830650081654,0.02281813489643448,0.22008579762957944,TRUE
202.8777777777778,40.55555555555556,1.22,0.96,1,0.02,0,0.0043483104385850496,4.907642919137265e-4,0.7683551251805629,0.2038038432931406,0.02300195679579879,0.21836504091609008,TRUE
202.8777777777778,40.55555555555556,1.23,0.96,1,0.02,0,0.004314738109017767,0.00049078083997036075,0.7681699755714042,0.20383881446977314,0.02318569100983316,0.21667178746943233,TRUE
202.8777777777778,40.55555555555556,1.24,0.96,1,0.02,0,0.004281695909161696,4.907971267220297e-4,0.767984935940776,0.20387323342795652,0.023369337595383167,0.21500538312746953,TRUE
202.8777777777778,40.55555555555556,1.25,0.96,1,0.02,0,0.0042491713806649505,4.908131583095467e-4,0.7678000057064531,0.20390711314514068,0.02355289660942955,0.21336519431054193,TRUE
202.8777777777778,40.55555555555556,1.26,0.96,1,0.02,0,0.004217152452514342,4.908289406828063e-4,0.7676151843024229,0.20394046619529763,0.023736368109081342,0.21175060721826924,TRUE
202.8777777777778,40.55555555555556,1.27,0.96,1,0.02,0,0.004185627426098176,4.908444796081446e-4,0.7674304711782426,0.20397330476448106,0.023919752151568316,0.21016102706368356,TRUE
202.8777777777778,40.55555555555556,1.28,0.96,1,0.02,0,0.004154584960954911,4.908597806753585e-4,0.7672458657984613,0.20400564066567206,0.02410304879423419,0.20859587734267138,TRUE
202.8777777777778,40.55555555555556,1.29,0.96,1,0.02,0,0.004124014061171385,4.908748493044202e-4,0.7670613676420439,0.20403748535294652,0.024286258094530333,0.2070545991368409,TRUE
202.8777777777778,40.55555555555556,1.3,0.96,1,0.02,0,0.004093904062396216,4.908896907518708e-4,0.7668769762018348,0.20406884993500396,0.024469380110009247,0.20553665044805192,TRUE
202.8777777777778,40.55555555555556,1.31,0.96,1,0.02,0,0.0040642446194361845,4.909043101169311e-4,0.766692690984038,0.2040997451880873,0.0246524148983185,0.20404150556293574,TRUE
202.8777777777778,40.55555555555556,1.32,0.96,1,0.02,0,0.004035025694405339,4.909187123473529e-4,0.766508511507722,0.20413018156832777,0.02483536251719543,0.2025686544458378,TRUE
202.8777777777778,40.55555555555556,1.33,0.96,1,0.02,0,0.004006237545398229,4.909329022449966e-4,0.7663244373043506,0.20416016922354355,0.025018223024461436,0.2011176021587207,TRUE
202.8777777777778,40.55555555555556,1.34,0.96,1,0.02,0,0.003977870715660458,4.909468844711702e-4,0.7661404679173334,0.20418971800452035,0.025200996478016977,0.1996878683066316,TRUE
202.8777777777778,40.55555555555556,1.35,0.96,1,0.02,0,0.003949916023231283,4.90960663551723e-4,0.7659566029015803,0.20421883747580077,0.025383682935835875,0.1982789865074401,TRUE
202.8777777777778,40.55555555555556,1.36,0.96,1,0.02,0,0.003922364551034388,4.90974243881958e-4,0.7657728418231144,0.2042475369260059,0.02556628245596207,0.19689050388459206,TRUE
202.8777777777778,40.55555555555556,1.37,0.96,1,0.02,0,0.003895207637394397,4.909876297312803e-4,0.7655891842586551,0.20427582537771416,0.025748795096503744,0.19552198058176049,TRUE
