covid R0=2,sars R0=2,mers R0=2,covid R0=4,sars R0=4,mers R0=4,covid R0=6,sars R0=6,mers R0=6
0.0019772547006923647,0.0367168135347327,0.35675028675178744,1.6004450471949928e-5,0.0016246337748252807,0.3713521374086364,1.60000000156843e-5,0.0016245541526872646,0.3713521704828504
0.0019744045021422006,0.03666575381216854,0.35677195936443884,1.600442446563386e-5,0.001624633309259477,0.37135213760388186,1.6000000015507665e-5,0.0016245541526841037,0.3713521704828518
0.0019716130238698042,0.03661574475463241,0.3567931941703216,1.6004398392843347e-5,0.0016246328425039177,0.371352137799621,1.6000000015331956e-5,0.001624554152680959,0.37135217048285313
0.001968878756303449,0.03656675934642383,0.35681400244754324,1.6004372254963896e-5,0.0016246323745834803,0.3713521379958427,1.600000001515723e-5,0.0016245541526778322,0.37135217048285435
0.0019662001851206857,0.03651877048672142,0.3568343955102781,1.600434605409526e-5,0.0016246319055358328,0.3713521381925307,1.6000000014983548e-5,0.001624554152674724,0.3713521704828557
0.0019635757952634215,0.03647175106143423,0.35685438467878744,1.6004319793056705e-5,0.0016246314354115298,0.37135213838966336,1.6000000014810973e-5,0.0016245541526716358,0.37135217048285696
0.001961004074579521,0.03642567400836897,0.35687398125223097,1.6004293475387104e-5,0.0016246309642740126,0.37135213858721333,1.6000000014639558e-5,0.0016245541526685682,0.37135217048285823
0.0019584835171097704,0.036380512376050125,0.3568931964841326,1.6004267105339214e-5,0.0016246304921995077,0.37135213878514833,1.600000001446936e-5,0.0016245541526655224,0.3713521704828595
0.001956012626039307,0.03633623937653519,0.3569120415603534,1.6004240687867634e-5,0.0016246300192768117,0.3713521389834303,1.600000001430045e-5,0.0016245541526624997,0.37135217048286073
0.0019535899163329144,0.03629282843257174,0.3569305275794299,1.6004214228610032e-5,0.0016246295456069548,0.37135213918201626,1.600000001413288e-5,0.001624554152659501,0.371352170482862
0.0019512139170730928,0.036250253219435126,0.356948665535135,1.6004187733861224e-5,0.001624629071302737,0.37135213938085826,1.600000001396672e-5,0.0016245541526565275,0.3713521704828633
0.0019488831735194857,0.03620848770177917,0.3569664663011233,1.600416121053989e-5,0.0016246285964881327,0.3713521395799036,1.6000000013802025e-5,0.0016245541526535802,0.3713521704828645
0.0019465962489076507,0.036167506165821726,0.3569839406175249,1.6004134666147755e-5,0.001624628121297559,0.3713521397790953,1.6000000013638853e-5,0.0016245541526506602,0.3713521704828657
0.0019443517260048252,0.036127283247181126,0.3570010990793586,1.6004108108721178e-5,0.0016246276458750093,0.3713521399783721,1.600000001347727e-5,0.0016245541526477684,0.3713521704828669
0.0019421482084395222,0.03608779395466457,0.357017952126636,1.6004081546775434e-5,0.0016246271703730564,0.37135214017766927,1.6000000013317332e-5,0.0016245541526449065,0.37135217048286806
0.0019399843218212492,0.036049013690300245,0.35703451003603603,1.6004054989241863e-5,0.001624626694951727,0.3713521403769188,1.6000000013159093e-5,0.0016245541526420746,0.3713521704828693
0.001937858714665847,0.03601091826589039,0.3570507829140345,1.6004028445398538e-5,0.0016246262197772592,0.37135214057605037,1.6000000013002616e-5,0.0016245541526392745,0.3713521704828705
0.0019357700591411805,0.03597348391634885,0.35706678069137815,1.600400192479503e-5,0.001624625745020757,0.37135214077499135,1.6000000012847944e-5,0.0016245541526365068,0.3713521704828716
0.0019337170516469959,0.03593668731007058,0.3570825131187997,1.6003975437172318e-5,0.0016246252708567552,0.37135214097366753,1.6000000012695133e-5,0.001624554152633772,0.3713521704828727
0.001931698413242298,0.03590050555657172,0.35709798976387547,1.600394899237874e-5,0.0016246247974617137,0.37135214117200416,1.6000000012544225e-5,0.0016245541526310717,0.37135217048287383
0.0019297128899327018,0.035864916211623396,0.3571132200089315,1.600392260028355e-5,0.0016246243250124717,0.3713521413699261,1.6000000012395273e-5,0.001624554152628406,0.371352170482875
0.00192775925282927,0.03582989728008503,0.35712821304991277,1.6003896270689043e-5,0.0016246238536846715,0.3713521415673589,1.6000000012248316e-5,0.0016245541526257762,0.37135217048287605
0.0019258362981897812,0.035795427216633195,0.3571429778961336,1.6003870013243264e-5,0.0016246233836511974,0.3713521417642291,1.6000000012103395e-5,0.001624554152623183,0.37135217048287716
0.0019239428473525372,0.035761484924566656,0.3571575233708343,1.6003843837354937e-5,0.00162462291508065,0.3713521419604651,1.600000001196054e-5,0.0016245541526206267,0.3713521704828782
0.0019220777465722048,0.035728049752857705,0.35717185811247343,1.6003817752112098e-5,0.0016246224481358902,0.37135214215599766,1.600000001181979e-5,0.0016245541526181077,0.3713521704828793
0.0019202398667664566,0.035695101491606505,0.3571859905766887,1.6003791766206373e-5,0.0016246219829726828,0.3713521423507607,1.6000000011681166e-5,0.001624554152615627,0.3713521704828803
0.0019184281031814662,0.03566262036604262,0.3571999290388692,1.6003765887864643e-5,0.0016246215197384711,0.37135214254469134,1.6000000011544703e-5,0.0016245541526131854,0.37135217048288127
0.0019166413749837853,0.035630587029208294,0.35721368159728073,1.600374012478975e-5,0.0016246210585713157,0.37135214273773093,1.600000001141042e-5,0.0016245541526107824,0.3713521704828823
0.001914878624785414,0.035598982553445596,0.35722725617669376,1.600371448411184e-5,0.0016246205995990206,0.3713521429298249,1.600000001127833e-5,0.0016245541526084186,0.37135217048288327
0.0019131388181084852,0.03556778842080199,0.3572406605324681,1.6003688972351656e-5,0.0016246201429384783,0.3713521431209235,1.6000000011148457e-5,0.0016245541526060947,0.37135217048288427
0.0019114209427952401,0.035536986512456153,0.3572539022550495,1.600366359539694e-5,0.0016246196886952427,0.3713521433109819,1.6000000011020806e-5,0.0016245541526038105,0.37135217048288527
0.0019097240083686751,0.03550655909726012,0.3572669887748391,1.6003638358493272e-5,0.0016246192369633644,0.3713521434999595,1.6000000010895384e-5,0.001624554152601566,0.37135217048288616
0.0019080470453486465,0.035476488819483544,0.357279927367402,1.600361326624882e-5,0.0016246187878254763,0.37135214368782127,1.6000000010772202e-5,0.001624554152599362,0.37135217048288705
0.0019063891045278218,0.03544675868583835,0.35729272515897864,1.6003588322654163e-5,0.0016246183413531454,0.3713521438745365,1.6000000010651256e-5,0.0016245541525971977,0.371352170482888
0.0019047492562115358,0.03541735205185659,0.35730538913227256,1.6003563531116894e-5,0.001624617897607492,0.37135214406007905,1.6000000010532546e-5,0.0016245541525950734,0.37135217048288893
