R0,beta1,gamma,omega,rho,nu,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.2,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,2.095890410958904,862.2682993688451
1.4,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,1.0465753424657533,1182680.6734422664
1.5999999999999999,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.8054794520547945,3772266.548523303
1.7999999999999998,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.663013698630137,3954782.94171179
2,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.547945205479452,3952446.2908647223
2.1999999999999997,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.4465753424657534,3925482.5572409313
2.4,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.3643835616438356,3955330.0965859103
2.5999999999999996,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.3041095890410959,4046536.8806698346
2.8,0.2,40.55555555555556,0.1,0.7,0,covid,Inf,0.26301369863013696,4155920.9999955324
3,0.2,40.55555555555556,0.1,0.7,0,covid,27.09315068493151,0.23013698630136986,4254666.133884888
3.1999999999999997,0.2,40.55555555555556,0.1,0.7,0,covid,29.221917808219178,0.2054794520547945,4335130.741305033
3.3999999999999995,0.2,40.55555555555556,0.1,0.7,0,covid,27.484931506849314,0.1863013698630137,4398497.400628318
3.5999999999999996,0.2,40.55555555555556,0.1,0.7,0,covid,23.49041095890411,0.16986301369863013,4448091.985701804
3.8,0.2,40.55555555555556,0.1,0.7,0,covid,19.293150684931508,0.15616438356164383,4487153.862181769
4,0.2,40.55555555555556,0.1,0.7,0,covid,21.34794520547945,0.14520547945205478,4518226.368822586
4.199999999999999,0.2,40.55555555555556,0.1,0.7,0,covid,18.986301369863014,0.13424657534246576,4543303.632136953
4.3999999999999995,0.2,40.55555555555556,0.1,0.7,0,covid,14.084931506849315,0.12602739726027398,4563824.283154046
4.6,0.2,40.55555555555556,0.1,0.7,0,covid,12.12054794520548,0.12054794520547946,4580846.465628581
4.8,0.2,40.55555555555556,0.1,0.7,0,covid,12.238356164383562,0.11232876712328767,4595140.558142843
5,0.2,40.55555555555556,0.1,0.7,0,covid,15.432876712328767,0.10684931506849316,4607329.015270493
5.199999999999999,0.2,40.55555555555556,0.1,0.7,0,covid,13.347945205479451,0.10136986301369863,4617832.64576254
5.3999999999999995,0.2,40.55555555555556,0.1,0.7,0,covid,11.07123287671233,0.0958904109589041,4626991.801329811
5.6,0.2,40.55555555555556,0.1,0.7,0,covid,10.906849315068493,0.09315068493150686,4635040.440073801
5.8,0.2,40.55555555555556,0.1,0.7,0,covid,10.780821917808218,0.08767123287671233,4642212.905969094
6,0.2,40.55555555555556,0.1,0.7,0,covid,10.668493150684931,0.08493150684931507,4648588.705671808
1.2,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,2.095890410958904,862.2683309353115
1.4,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,1.0465753424657533,1182680.6816199769
1.5999999999999999,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.8054794520547945,3772266.549456797
1.7999999999999998,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.663013698630137,3954782.9421102875
2,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.547945205479452,3952446.2905034362
2.1999999999999997,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.4465753424657534,3925482.5575014804
2.4,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,Inf,0.3643835616438356,3955330.096932518
2.5999999999999996,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,24.96164383561644,0.3041095890410959,4046536.925522219
2.8,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,24.84109589041096,0.26301369863013696,4155909.65083412
3,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,20.873972602739727,0.23013698630136986,4254665.328850897
3.1999999999999997,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,16.197260273972603,0.2054794520547945,4335129.3404601775
3.3999999999999995,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,15.057534246575342,0.1863013698630137,4398496.392869883
3.5999999999999996,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,14.221917808219178,0.16986301369863013,4448097.744366728
3.8,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,13.621917808219179,0.15616438356164383,4487143.906569053
4,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,12.317808219178081,0.14520547945205478,4518221.970915485
4.199999999999999,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,12.161643835616438,0.13424657534246576,4543306.995728528
4.3999999999999995,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,10.098630136986301,0.12602739726027398,4563810.861976663
4.6,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,7.994520547945205,0.12054794520547946,4580843.606668157
4.8,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,7.295890410958904,0.11232876712328767,4595149.113313695
5,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,7.063013698630137,0.10684931506849316,4607340.638986474
5.199999999999999,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,7.145205479452055,0.10136986301369863,4617844.295092055
5.3999999999999995,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,7.501369863013698,0.0958904109589041,4627007.576129054
5.6,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,8.263013698630138,0.09315068493150686,4635076.024571381
5.8,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,8.063013698630137,0.08767123287671233,4642215.335485501
6,0.2,40.55555555555556,0.17916666666666667,0.7,0,covid,7.175342465753425,0.08493150684931507,4648623.203609763
1.2,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,Inf,2.095890410958904,862.2683465634714
1.4,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,Inf,1.0465753424657533,1182680.704993248
1.5999999999999999,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,Inf,0.8054794520547945,3772266.5502060754
1.7999999999999998,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,Inf,0.663013698630137,3954782.94255574
2,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,Inf,0.547945205479452,3952446.291171063
2.1999999999999997,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,26.706849315068492,0.4465753424657534,3925482.5596408653
2.4,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,24.41917808219178,0.3643835616438356,3955330.1002951926
2.5999999999999996,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,19.336986301369862,0.3041095890410959,4046536.9276914587
2.8,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,15.747945205479452,0.26301369863013696,4155909.8858678034
3,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,12.673972602739726,0.23013698630136986,4254665.886624711
3.1999999999999997,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,11.967123287671233,0.2054794520547945,4335130.602815461
3.3999999999999995,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,10.778082191780822,0.1863013698630137,4398503.56180693
3.5999999999999996,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,10.01095890410959,0.16986301369863013,4448103.188448608
3.8,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,10.227397260273973,0.15616438356164383,4487151.818487914
4,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,8.95890410958904,0.14520547945205478,4518228.280171391
4.199999999999999,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,8.934246575342465,0.13424657534246576,4543304.892428856
4.3999999999999995,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,7.917808219178082,0.12602739726027398,4563820.013695132
4.6,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,6.416438356164384,0.12054794520547946,4580834.953628721
4.8,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,5.6657534246575345,0.11232876712328767,4595149.275936845
5,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,5.32054794520548,0.10684931506849316,4607347.086467995
5.199999999999999,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,5.136986301369863,0.10136986301369863,4617851.418914844
5.3999999999999995,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,5.073972602739726,0.0958904109589041,4627010.064001483
5.6,0.2,40.55555555555556,0.2583333333333333,0.7,0,covid,5.120547945205479,0.09315068493150686,4635067.162053378
