R0,beta1,gamma,omega,rho,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.05,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,8.24863535259791
1.25625,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,14335.905978868152
1.4625000000000001,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,2937842.3704124964
1.6687500000000002,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3697720.1049722573
1.875,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3729497.7802064405
2.08125,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3665197.7580738286
2.2875,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3682449.9192539994
2.4937500000000004,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.4712328767123288,3827186.803144393
2.7,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.3452054794520548,4015587.232219589
2.90625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.2821917808219178,4184864.5951534878
3.1125,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.24383561643835616,4319575.943332986
3.3187500000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.2136986301369863,4422534.749103924
3.5250000000000004,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.1917808219178082,4500406.428849646
3.73125,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.17534246575342466,4559282.780080883
3.9375,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.1589041095890411,4603866.6718439935
4.143750000000001,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.14794520547945206,4638023.933730415
4.3500000000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.136986301369863,4664236.229784613
4.55625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.12876712328767123,4684467.2861311855
4.7625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.12054794520547946,4700166.57925179
4.96875,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.11506849315068493,4712400.073211335
5.175,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.10684931506849316,4721969.530169629
5.3812500000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.10136986301369863,4729395.556394827
5.5875,0.2,40.55555555555556,0.1,0.05,covid,10.438356164383562,0.09863013698630137,4735351.071828151
5.79375,0.2,40.55555555555556,0.1,0.05,covid,7.03013698630137,0.09315068493150686,4739954.898823345
6,0.2,40.55555555555556,0.1,0.05,covid,5.120547945205479,0.08767123287671233,4743731.52615634
1.05,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,8.248635510335124
1.25625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,14335.91768326468
1.4625000000000001,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,2938062.2919799862
1.6687500000000002,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3698157.59213917
1.875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3730085.24277446
2.08125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3665933.9091998893
2.2875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3683112.8248296813
2.4937500000000004,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.4712328767123288,3827641.2910936307
2.7,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.3452054794520548,4015901.915757634
2.90625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.2821917808219178,4185098.5969736064
3.1125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.24383561643835616,4319749.703508095
3.3187500000000005,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.2136986301369863,4422699.154826094
3.5250000000000004,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.1917808219178082,4500511.281632144
3.73125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.17534246575342466,4559326.395239323
3.9375,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.1589041095890411,4603975.731546744
4.143750000000001,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.14794520547945206,4637989.75284947
4.3500000000000005,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.136986301369863,4664221.238443274
4.55625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.12876712328767123,4684447.845223127
4.7625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.12054794520547946,4700144.572799347
4.96875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.11506849315068493,4712430.45017192
5.175,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.10684931506849316,4721994.278980887
5.3812500000000005,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.10136986301369863,4729499.547152568
5.5875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,10.408219178082192,0.09863013698630137,4735410.042505878
5.79375,0.2,40.55555555555556,0.17916666666666667,0.05,covid,7.010958904109589,0.09315068493150686,4740029.354189682
6,0.2,40.55555555555556,0.17916666666666667,0.05,covid,5.1068493150684935,0.08767123287671233,4743718.657197969
1.05,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,8.248635676699957
1.25625,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,14335.928976378065
1.4625000000000001,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,2938280.823126069
1.6687500000000002,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,3698591.6611868697
