R0,beta1,gamma,omega,rho,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.05,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,4.137204177321195
1.25625,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,7190.591206053627
1.4625000000000001,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,1473552.079382977
1.6687500000000002,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,1854646.5082327304
1.875,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,1870552.4935472969
2.08125,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,1838276.343548622
2.2875,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,1846908.1206184486
2.4937500000000004,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.4712328767123288,1919484.4846042127
2.7,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.3452054794520548,2013963.8097679496
2.90625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.2821917808219178,2098854.622801199
3.1125,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.24383561643835616,2166410.9286440667
3.3187500000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.2136986301369863,2218043.360570888
3.5250000000000004,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.1917808219178082,2257094.588997932
3.73125,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.17534246575342466,2286619.673142775
3.9375,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.1589041095890411,2308977.1259070784
4.143750000000001,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.14794520547945206,2326105.687949141
4.3500000000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.136986301369863,2339249.9197436552
4.55625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.12876712328767123,2349394.635238683
4.7625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.12054794520547946,2357266.7479298254
4.96875,0.2,40.55555555555556,0.1,0.05,covid,9.926027397260274,0.11506849315068493,2363400.8368296516
5.175,0.2,40.55555555555556,0.1,0.05,covid,6.67945205479452,0.10684931506849316,2368198.9823178127
5.3812500000000005,0.2,40.55555555555556,0.1,0.05,covid,4.854794520547945,0.10136986301369863,2371922.261960248
5.5875,0.2,40.55555555555556,0.1,0.05,covid,3.654794520547945,0.09863013698630137,2374908.146519858
5.79375,0.2,40.55555555555556,0.1,0.05,covid,2.808219178082192,0.09315068493150686,2377216.2144003343
6,0.2,40.55555555555556,0.1,0.05,covid,2.2054794520547945,0.08767123287671233,2379109.499130179
1.05,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,4.137204256470268
1.25625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,7190.597076752544
1.4625000000000001,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,1473662.3875304058
1.6687500000000002,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,1854865.940065658
1.875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,1870847.145193943
2.08125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,1838645.569041038
2.2875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,1847240.6059451753
