R0,beta1,gamma,omega,rho,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
1.05,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,7.445865781399394
1.25625,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,12943.947025053414
1.4625000000000001,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,2652487.201357901
1.6687500000000002,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3338038.9221828026
1.875,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3366297.2888264293
2.08125,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3307893.6234003115
2.2875,0.2,40.55555555555556,0.1,0.05,covid,Inf,Inf,3323156.18128985
2.4937500000000004,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.4712328767123288,3453535.6857011584
2.7,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.3452054794520548,3623369.1369313826
2.90625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.2821917808219178,3775981.0921128225
3.1125,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.24383561643835616,3897427.1274650143
3.3187500000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.2136986301369863,3990240.385909097
3.5250000000000004,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.1917808219178082,4060431.3688619738
3.73125,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.17534246575342466,4113493.9361842233
3.9375,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.1589041095890411,4153669.3580906056
4.143750000000001,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.14794520547945206,4184444.077657213
4.3500000000000005,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.136986301369863,4208056.0078249015
4.55625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.12876712328767123,4226275.9847096475
4.7625,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.12054794520547946,4240411.049224777
4.96875,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.11506849315068493,4251422.363492104
5.175,0.2,40.55555555555556,0.1,0.05,covid,Inf,0.10684931506849316,4260032.82648467
5.3812500000000005,0.2,40.55555555555556,0.1,0.05,covid,16.438356164383563,0.10136986301369863,4266711.760669677
5.5875,0.2,40.55555555555556,0.1,0.05,covid,8.997260273972604,0.09863013698630137,4272065.95946743
5.79375,0.2,40.55555555555556,0.1,0.05,covid,6.279452054794521,0.09315068493150686,4276202.375592963
6,0.2,40.55555555555556,0.1,0.05,covid,4.605479452054794,0.08767123287671233,4279593.975415158
1.05,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,7.445865923881869
1.25625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,12943.957593200563
1.4625000000000001,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,2652685.768674641
1.6687500000000002,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3338433.887378385
1.875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3366827.5987234497
2.08125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3308558.105768555
2.2875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,Inf,3323754.503726414
2.4937500000000004,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.4712328767123288,3453945.8583757207
2.7,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.3452054794520548,3623653.1165806954
2.90625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.2821917808219178,3776192.251891625
3.1125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.24383561643835616,3897583.921563684
3.3187500000000005,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.2136986301369863,3990388.7323078597
3.5250000000000004,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.1917808219178082,4060525.979179712
3.73125,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.17534246575342466,4113533.295803683
3.9375,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.1589041095890411,4153767.758072645
4.143750000000001,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.14794520547945206,4184413.245532405
4.3500000000000005,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.136986301369863,4208042.488007005
4.55625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.12876712328767123,4226258.450115162
4.7625,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.12054794520547946,4240391.199450455
4.96875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.11506849315068493,4251449.772658683
5.175,0.2,40.55555555555556,0.17916666666666667,0.05,covid,Inf,0.10684931506849316,4260055.157743184
5.3812500000000005,0.2,40.55555555555556,0.17916666666666667,0.05,covid,16.372602739726027,0.10136986301369863,4266805.581116617
5.5875,0.2,40.55555555555556,0.17916666666666667,0.05,covid,8.967123287671233,0.09863013698630137,4272119.163990913
5.79375,0.2,40.55555555555556,0.17916666666666667,0.05,covid,6.260273972602739,0.09315068493150686,4276269.549648332
6,0.2,40.55555555555556,0.17916666666666667,0.05,covid,4.5917808219178085,0.08767123287671233,4279582.370941442
1.05,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,7.445866073643886
1.25625,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,12943.967789997609
1.4625000000000001,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,2652883.080577516
1.6687500000000002,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,3338825.766643172
1.875,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,3367353.266500993
2.08125,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,3309216.3594887634
2.2875,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,Inf,3324347.716577207
2.4937500000000004,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,0.4712328767123288,3454352.731608308
2.7,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,0.3424657534246575,3623935.3740097727
2.90625,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,0.2821917808219178,3776401.5395208895
3.1125,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,0.24383561643835616,3897744.651275604
3.3187500000000005,0.2,40.55555555555556,0.2583333333333333,0.05,covid,Inf,0.2136986301369863,3990499.885816963
